latitude,longitude,time,thetao,so,uo,vo,zos,mlotst,bottomT,siconc,sithick,usi,vsi
22.996699999999997,-51.7503,2013-06-02 08:44:00,25.134907336262135,37.30543110144072,0.0479093693011436,-0.11461616670452926,0.04438119556632079,20.044754109647553,1.597402215314259,,,0.0,0.0
22.996699999999997,-51.7503,2013-06-02 11:44:00,25.143243491242856,37.30543865457632,0.050223360803214226,-0.11227572336719567,0.04423122316280739,20.27439842109507,1.597493768048634,,,0.0,0.0
22.996699999999997,-51.7503,2013-06-02 14:44:00,25.148317831231545,37.30527242692338,0.05017006985090439,-0.11109896814773981,0.04470699053269345,20.520732831954955,1.5976684351989998,,,0.0,0.0
22.996699999999997,-51.7503,2013-06-02 17:44:00,25.153073945367353,37.30508924504717,0.04988582451280134,-0.1100357434763696,0.045243805685350184,20.768695545196532,1.5978512110728769,,,0.0,0.0
22.996699999999997,-51.7503,2013-06-02 20:44:00,25.157830059503162,37.30490606317096,0.04960157917469829,-0.10897251880499938,0.045780620838006915,21.01665825843811,1.598033986946754,,,0.0,0.0
22.996699999999997,-51.7503,2013-06-02 23:44:00,25.16258617363897,37.304722881294744,0.04931733383659524,-0.10790929413362915,0.04631743599066365,21.264620971679687,1.598216762820631,,,0.0,0.0
22.996699999999997,-51.7503,2013-06-03 02:44:00,25.16734228777478,37.304539699418534,0.049033088498492194,-0.10684606946225893,0.04685425114332038,21.512583684921264,1.598399538694508,,,0.0,0.0
22.996699999999997,-51.7503,2013-06-03 05:44:00,25.17209840191059,37.304356517542324,0.04874884316038914,-0.10578284479088872,0.04739106629597712,21.76054639816284,1.598582314568385,,,0.0,0.0
22.996699999999997,-51.7503,2013-06-03 08:44:00,25.176854516046397,37.30417333566611,0.04846459782228609,-0.10471962011951849,0.04792788144863385,22.00850911140442,1.5987650904422621,,,0.0,0.0
22.996699999999997,-51.667300000000004,2013-06-02 02:44:00,25.06468882088699,37.30113535140521,0.05469866873066631,-0.10066987522258952,0.03628695968590912,18.897276120148188,1.5727135684093,,,0.0,0.0
22.996699999999997,-51.667300000000004,2013-06-02 05:44:00,25.07338767146896,37.30114290443039,0.056763585912093774,-0.09878316713804136,0.03621310554423973,19.20263782773899,1.5728959794636568,,,0.0,0.0
22.996699999999997,-51.667300000000004,2013-06-02 08:44:00,25.082086522050933,37.30115045745558,0.05882850309352124,-0.09689645905349321,0.03613925140257035,19.507999535329787,1.5730783905180135,,,0.0,0.0
22.996699999999997,-51.667300000000004,2013-06-02 11:44:00,25.090785372632904,37.30115801048076,0.060893420274948706,-0.09500975096894507,0.03606539726090096,19.813361242920585,1.5732608015723701,,,0.0,0.0
22.996699999999997,-51.667300000000004,2013-06-02 14:44:00,25.096723999331513,37.30116424542037,0.06093976323072859,-0.09421379912996222,0.03664893490568313,20.084356169851677,1.5735266273402684,,,0.0,0.0
22.996699999999997,-51.667300000000004,2013-06-02 17:44:00,25.10239333589516,37.30117035176627,0.060789172115713594,-0.09352426253444916,0.037296608334509346,20.351998240133042,1.573800591129,,,0.0,0.0
